Project ID,Project Name,Vintage,Credit Serial Numbers,Quantity of Credits,Status Effective,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,ARB Eligible,CORSIA Qualified,Sustainable Development Goal(s),Date Issued,Account Holder,Cancellation Type,Cancellation Details,Cancellation Year,Transitioned to ARB or Canceled,Issuance Year,ARB Project,ACR Cancellation Data,Updated 11-1-23,Total Credits Canceled:,158905394,Unnamed: 26,The American Carbon Registry
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-154-200970515 to 200980514,10000,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-10-18 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-154-200980673 to 200980772,100,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-10-18 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-154-200980773 to 201031152,50380,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-10-18 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-154-201031153 to 201031652,500,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2007-10-18 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-155-205134686 to 205136718,2033,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2008-04-22 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR113,Greater New Bedford LFG,2007,ACR-US-113-2007-155-205136719 to 205152293,15575,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,MASSACHUSETTS,,No,No,,2008-04-22 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR115,Lower Mississippi Valley Reforestation,2011,ACR-US-115-2011-309-1 to 399,399,2017-08-28,Forest Carbon,Version 5.2.0,"National Wildlife Refuges, Managed by USFWS in the Lower Mississippi Valley",LOUISIANA,US,No,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2012-08-22 22:16:43,The American Carbon Registry,Compensation for Intentional Reversal,,2017.0,Canceled,2012,No,,,,,,
ACR117,Merit Energy Geo-Seq,2000,ACR-US-117-2000-119-133135754 to 133266398,130645,,Emission Reductions from Enhanced Oil Recovery,Version 1.0,,WYOMING,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR117,Merit Energy Geo-Seq,2001,ACR-US-117-2001-120-134127272 to 134731648,604377,,Emission Reductions from Enhanced Oil Recovery,Version 1.0,,WYOMING,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR117,Merit Energy Geo-Seq,2002,ACR-US-117-2002-121-134845614 to 135353191,507578,,Emission Reductions from Enhanced Oil Recovery,Version 1.0,,WYOMING,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR117,Merit Energy Geo-Seq,2003,ACR-US-117-2003-122-135582430 to 136188865,606436,,Emission Reductions from Enhanced Oil Recovery,Version 1.0,,WYOMING,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR117,Merit Energy Geo-Seq,2004,ACR-US-117-2004-123-137020717 to 137055716,35000,,Emission Reductions from Enhanced Oil Recovery,Version 1.0,,WYOMING,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR117,Merit Energy Geo-Seq,2005,ACR-US-117-2005-125-206794514 to 206794559,46,2023-01-10,Emission Reductions from Enhanced Oil Recovery,Version 1.0,LaBarge,WYOMING,,No,No,,2008-12-03 00:00:00,The American Carbon Registry,Compensation for Intentional Reversal,,2023.0,Canceled,2008,No,,,,,,
ACR118,Monell Geo-Seq,2004,ACR-US-118-2004-304-1 to 259387,259387,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,Sweetwater County,WYOMING,US,No,No,,2009-09-01 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR118,Monell Geo-Seq,2005,ACR-US-118-2005-305-1 to 415078,415078,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,Sweetwater County,WYOMING,US,No,No,,2009-09-01 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR118,Monell Geo-Seq,2007,ACR-US-118-2007-102-202865946 to 202956658,90713,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,Sweetwater County,WYOMING,US,No,No,,2008-03-28 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2008,No,,,,,,
ACR118,Monell Geo-Seq,2008,ACR-US-118-2008-103-210453607 to 210571928,118322,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,Sweetwater County,WYOMING,US,No,No,,2009-03-26 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR119,North Country LFG,2001,ACR-US-119-2001-161-119490497 to 119603133,112637,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2005-12-21 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR119,North Country LFG,2002,ACR-US-119-2002-162-119604975 to 119714000,109026,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2005-12-21 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR119,North Country LFG,2003,ACR-US-119-2003-163-119715771 to 119770751,54981,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2005-12-21 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR119,North Country LFG,2003,ACR-US-119-2003-163-119770752 to 119830751,60000,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2005-12-21 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR119,North Country LFG,2004,ACR-US-119-2004-164-119837172 to 119919571,82400,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2005-12-21 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2005,No,,,,,,
ACR119,North Country LFG,2005,ACR-US-119-2005-165-119968605 to 120062204,93600,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2006-01-06 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR119,North Country LFG,2006,ACR-US-119-2006-166-193140513 to 193261060,120548,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2007-06-29 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR119,North Country LFG,2007,ACR-US-119-2007-167-200897120 to 200956435,59316,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2007-10-18 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR119,North Country LFG,2007,ACR-US-119-2007-168-205033580 to 205082069,48490,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2008-04-22 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR119,North Country LFG,2008,ACR-US-119-2008-169-205323339 to 205324538,1200,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,NEW HAMPSHIRE,,No,No,,2008-07-22 00:00:00,Commonwealth Resource Management Corporation,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR123,Salt Creek Geo-Seq,2004,ACR-US-123-2004-302-1 to 1032153,1032153,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,"Salt Creek Field, Natrona Co.",WYOMING,US,No,No,,2009-09-01 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR123,Salt Creek Geo-Seq,2005,ACR-US-123-2005-303-1 to 1610328,1610328,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,"Salt Creek Field, Natrona Co.",WYOMING,US,No,No,,2009-09-01 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR123,Salt Creek Geo-Seq,2006,ACR-US-123-2006-104-192525313 to 193051252,525940,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,"Salt Creek Field, Natrona Co.",WYOMING,US,No,No,,2007-03-29 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2007,No,,,,,,
ACR123,Salt Creek Geo-Seq,2007,ACR-US-123-2007-105-203470909 to 205013658,1542750,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,"Salt Creek Field, Natrona Co.",WYOMING,US,No,No,,2008-03-28 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2008,No,,,,,,
ACR123,Salt Creek Geo-Seq,2008,ACR-US-123-2008-106-211131741 to 212811176,1679436,2020-08-04,Carbon Capture & Storage (CCS),Version 1.0,"Salt Creek Field, Natrona Co.",WYOMING,US,No,No,,2009-03-26 00:00:00,Anadarko,Removal of credits from the registry,,2020.0,Canceled,2009,No,,,,,,
ACR125,SEESA Solar Electrification,2004,ACR-SV-125-2004-181-205152360 to 205152364,5,,Electricity generation by the user,Version 1.0,,,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR125,SEESA Solar Electrification,2005,ACR-SV-125-2005-182-205152365 to 205152382,18,,Electricity generation by the user,Version 1.0,,,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR125,SEESA Solar Electrification,2006,ACR-SV-125-2006-183-205152383 to 205152434,52,,Electricity generation by the user,Version 1.0,,,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR125,SEESA Solar Electrification,2007,ACR-SV-125-2007-184-205152435 to 205152528,94,,Electricity generation by the user,Version 1.0,,,,No,No,,2008-07-23 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2008,No,,,,,,
ACR126,Seneca Meadows LFG,2014,ACR-US-126-2014-601-1 to 18967,18967,2023-01-23,Landfill Gas Capture & Combustion,Version 1.0,Waterloo,NEW YORK,US,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",2016-12-02 17:22:02,The American Carbon Registry,Removal of credits from the registry,,2023.0,Canceled,2016,No,,,,,,
ACR126,Seneca Meadows LFG,2015,ACR-US-126-2015-681-1 to 47053,47053,2023-01-23,Landfill Gas Capture & Combustion,Version 1.0,Waterloo,NEW YORK,US,No,No,"09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action",2017-10-04 23:04:34,The American Carbon Registry,Removal of credits from the registry,,2023.0,Canceled,2017,No,,,,,,
ACR129,Tecnosol Solar Electrification,2005,ACR-NI-129-2005-185-193078099 to 193078498,400,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-05-22 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2005,ACR-NI-129-2005-185-193078499 to 193078571,73,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-05-22 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2006,ACR-NI-129-2006-186-193078572 to 193078971,400,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-05-22 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2006,ACR-NI-129-2006-186-193078972 to 193080157,1186,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-05-22 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201031672 to 201032071,400,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201032072 to 201032871,800,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201032872 to 201032896,25,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201032897 to 201032996,100,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201032997 to 201033396,400,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR129,Tecnosol Solar Electrification,2007,ACR-NI-129-2007-187-201033397 to 201033525,129,,Electricity generation by the user,Version 1.0,,,,No,No,,2007-10-18 00:00:00,E+Co,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR162,International Paper,2005,ACR-US-162-2005-296-137419862 to 137519861,100000,,"Monitoring, Reporting and Verification Protocol for Cogeneration",Version 1.0,,MAINE,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR162,International Paper,2005,ACR-US-162-2005-296-137522030 to 137558896,36867,,"Monitoring, Reporting and Verification Protocol for Cogeneration",Version 1.0,,MAINE,,No,No,,2006-03-13 00:00:00,Blue Source,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR163,Des Plaines LFG to Energy,2003,ACR-US-163-2003-295-137558897 to 137560422,1526,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,ILLINOIS,,No,No,,2006-07-18 00:00:00,Sexton Energy,Removal of credits from the registry,,,Canceled,2006,No,,,,,,
ACR163,Des Plaines LFG to Energy,2006,ACR-US-163-2006-288-193051253 to 193056752,5500,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,ILLINOIS,,No,No,,2007-04-10 00:00:00,Sexton Energy,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR163,Des Plaines LFG to Energy,2006,ACR-US-163-2006-288-193059253 to 193060952,1700,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,ILLINOIS,,No,No,,2007-04-10 00:00:00,Sexton Energy,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR163,Des Plaines LFG to Energy,2007,ACR-US-163-2007-290-201080844 to 201117262,36419,,"Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion",Version 1.0,,ILLINOIS,,No,No,,2007-11-15 00:00:00,Sexton Energy,Removal of credits from the registry,,,Canceled,2007,No,,,,,,
ACR170,ECC ODS Destruction 2012,2012,ACR-US-170-2012-315-1 to 306517,306517,2013-09-16,Ozone Depleting Substances,2011-10-20 00:00:00,El Dorado,ARKANSAS,US,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",2013-08-03 00:35:37,Environmental Credit Corp.,Convert to ARB offset credits,,2013.0,ARB,2013,Compliance,,,,,,
ACR170,ECC ODS Destruction 2012,2012,ACR-US-170-2012-315-306518 to 307729,1212,2013-09-10,Ozone Depleting Substances,2011-10-20 00:00:00,El Dorado,ARKANSAS,US,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",2013-08-03 00:35:37,Environmental Credit Corp.,Removal of credits from the registry,,2013.0,Canceled,2013,Compliance,,,,,,
ACR172,EOS ARB ODS 2013-2,2013,ACR-US-172-2013-318-1 to 55996,55996,2013-11-27,Ozone Depleting Substances,2011-10-20 00:00:00,El Dorado,ARKANSAS,US,Yes,No,"09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action",2013-10-22 03:19:40,EOS Climate Inc,Convert to ARB offset credits,,2013.0,ARB,2013,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2013,ACR-US-173-2013-364-1 to 454798,454798,2015-01-28,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2014-11-12 23:25:54,"Forest Carbon Partners, L.P.",Convert to ARB offset credits,,2015.0,ARB,2014,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2013,ACR-US-173-2013-365-1 to 74653,74653,2015-01-28,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2014-11-12 23:25:54,The American Carbon Registry,Convert to ARB offset credits,,2015.0,ARB,2014,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2013,ACR-US-173-2013-377-1 to 9773,9773,2015-01-28,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2015-01-22 00:57:13,"Forest Carbon Partners, L.P.",Convert to ARB offset credits,,2015.0,ARB,2015,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2013,ACR-US-173-2013-378-1 to 1604,1604,2015-01-28,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2015-01-22 00:57:13,The American Carbon Registry,Convert to ARB offset credits,,2015.0,ARB,2015,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2014,ACR-US-173-2014-598-1 to 7177,7177,2017-03-22,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-11-30 18:18:05,"Forest Carbon Partners, L.P.",Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2014,ACR-US-173-2014-599-1 to 1179,1179,2017-03-22,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-11-30 18:18:05,The American Carbon Registry,Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2015,ACR-US-173-2015-596-1 to 38711,38711,2017-03-22,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-11-30 18:18:05,"Forest Carbon Partners, L.P.",Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2015,ACR-US-173-2015-597-1 to 6355,6355,2017-03-22,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2016-11-30 18:18:05,The American Carbon Registry,Convert to ARB offset credits,,2017.0,ARB,2016,Compliance,,,,,,
ACR173,Round Valley Indian Tribes Improved Forest Management Project,2016,ACR-US-173-2016-766-1 to 2926,2926,2019-02-22,Forest Carbon,2011-10-20 00:00:00,Mendocino County,CALIFORNIA,US,Yes,No,06: Clean Water and Sanitation;13: Climate Action;15: Life on Land,2018-09-28 16:09:49,"Forest Carbon Partners, L.P.",Convert to ARB offset credits,,2019.0,ARB,2018,Compliance,,,,,,
