Project ID,CARB Issuance ID,OPR Project ID,Project Type,Early Action/ Compliance,Reporting Period Start Date,Reporting Period End Date,Vintage,ARB Offset Credits Issued,Forest Buffer Account Contribution,Issuance Date,Invalidation Timeframe,Date Invalidation Period Reduced,Start of Invalidation Timeframe,Project Name,Project Operator,Verification Body,State,Provides DEBS,"Section 95989(b) Documentation, if applicable",Project Documentation,Retired Buffer Pool,Retired Voluntarily,Retired 1st Compliance Period (CA),Retired 2nd Compliance Period (CA),Retired 3rd Compliance Period (CA),Retired 4th Compliance Period (CA),Retired for Compliance (Quebec),Retired Intentional Reversal,Comments,Vintage remaining,Issuance total from registry,Issuance Year,Registry,ARB Source Data,Updated 11-1-23,Total ARB Credits Issued:,220439110,Total ARB Credits Retired:,163158520
ACR182,CAFR5012-A,ACR182,Forest,COP,2012-03-25,2013-08-25,2013.0,107214,20586,2014-08-26,8 years,,2013-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,20586.0,0,82297,0,0,0,0,0,"On 1/25/2022, CARB retired all 20,586 credits from the buffer pool for the CAFR5231-A unintentional reversal.",24917,86304.0,2014.0,ACR,,,,,,
ACR182,CAFR5012-B,ACR182,Forest,COP,2013-08-26,2014-08-25,2014.0,10051,1930,2016-10-25,3 years,2021-01-26 00:00:00,2014-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,0.0,0,0,7169,0,0,0,0,,2882,8121.0,2016.0,ACR,,,,,,
ACR182,CAFR5012-C,ACR182,Forest,COP,2014-08-26,2015-08-25,2015.0,10051,1930,2016-10-25,3 years,2021-01-26 00:00:00,2015-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.",SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,0.0,0,0,0,0,0,0,0,,10051,8121.0,2016.0,ACR,,,,,,
ACR182,CAFR5012-D,ACR182,Forest,COP,2016-08-26,2017-08-25,2017.0,12303,2362,2021-01-26,8 years,,2017-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,0.0,0,0,0,0,0,0,9423,"In April 2021, 9,423 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired.",2880,9483.0,2021.0,ACR,,,,,,
ACR182,CAFR5012-E,ACR182,Forest,COP,2017-08-26,2018-08-25,2018.0,10953,2103,2021-01-26,8 years,,2018-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,0.0,0,0,0,0,0,0,8850,"In April 2021, 8,850 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired.",2103,8885.0,2021.0,ACR,,,,,,
ACR182,CAFR5012-F,ACR182,Forest,COP,2018-08-26,2019-08-25,2019.0,10986,2109,2021-01-26,8 years,,2019-08-25 00:00:00,Hanes Ranch Forest Carbon Project,"Hanes Ranch, Inc.","Ruby Canyon Environmental, Inc.",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=182,0.0,0,0,0,0,0,0,8877,"In April 2021, 8,877 credits surrendered by the offset project operator to meet the obligation for the CAFR5012 reversal were retired.",2109,8912.0,2021.0,ACR,,,,,,
ACR183,CAOD0061-A,ACR183,ODS,EA,2013-04-04,2013-04-08,2013.0,38517,,2014-01-21,3 years,2015-02-24 00:00:00,2014-01-21 00:00:00,DPC Domestic ODS Destruction Project #12,"Diversified Pure Chem, LLC","SES, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=183,,0,38514,3,0,0,0,0,,0,38517.0,2014.0,ACR,,,,,,
ACR184,CAOD0072-A,ACR184,ODS,EA,2013-07-17,2013-07-25,2013.0,126977,,2014-11-25,8 years,,2014-11-25 00:00:00,EOS ACR 2013,"EOS Climate, Inc.","First Environment of California, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=184,,0,110298,14888,0,0,0,0,,1791,126977.0,2014.0,ACR,,,,,,
ACR184,CAOD0072-B,ACR184,ODS,EA,2013-08-09,2013-08-15,2013.0,122048,,2014-11-25,3 years,2015-06-09 00:00:00,2014-11-25 00:00:00,EOS ACR 2013,"EOS Climate, Inc.","First Environment of California, Inc.",AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=184,,0,20628,101420,0,0,0,0,,0,126977.0,2014.0,ACR,,,,,,
ACR189,CAFR5016-A,ACR189,Forest,COP,2012-04-19,2013-06-30,2013.0,271144,52060,2014-06-24,8 years,,2013-06-30 00:00:00,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,52060.0,0,219084,0,0,0,0,0,"On 4/13/2021, CARB retired 40,030 of 52,060 credits from the buffer pool for the CAFR5224-A-B reversal; on 1/25/2022, CARB retired the remaining 12,030 credits from the buffer pool for the CAFR5231-A unintentional reversal.",52060,219084.0,2014.0,ACR,,,,,,
ACR189,CAFR5016-B,ACR189,Forest,COP,2013-07-01,2014-06-30,2014.0,7185,1380,2016-04-26,8 years,,2014-06-30 00:00:00,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,5805,0,0,0,0,,1380,5805.0,2016.0,ACR,,,,,,
ACR189,CAFR5016-C,ACR189,Forest,COP,2014-07-01,2015-06-30,2015.0,7316,1405,2016-04-26,8 years,,2015-06-30 00:00:00,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,5911,0,0,0,0,,1405,5911.0,2016.0,ACR,,,,,,
ACR189,CAFR5016-D,ACR189,Forest,COP,2015-07-01,2016-06-30,2016.0,7574,1454,2017-10-24,3 years,2020-08-25 00:00:00,2016-06-30 00:00:00,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,0,6120,0,0,0,,1454,6120.0,2017.0,ACR,,,,,,
ACR189,CAFR5016-E,ACR189,Forest,COP,2016-07-01,2017-06-30,2017.0,7774,1493,2017-10-24,3 years,2020-08-25 00:00:00,2017-06-30 00:00:00,Miller Forest,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,551,5730,0,0,0,,1493,6281.0,2017.0,ACR,,,,,,
ACR189,CAFR5016-F,ACR189,Forest,COP,2017-07-01,2018-06-30,2018.0,7065,1359,2020-08-25,8 years,,2018-06-30 00:00:00,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,0,0,0,5706,0,,1359,5706.0,2020.0,ACR,,,,,,
ACR189,CAFR5016-G,ACR189,Forest,COP,2018-07-01,2019-06-30,2019.0,6354,1223,2020-08-25,8 years,,2019-06-30 00:00:00,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,0,0,0,0,0,,6354,5131.0,2020.0,ACR,,,,,,
ACR189,CAFR5016-H,ACR189,Forest,COP,2019-07-01,2020-06-30,2020.0,7497,1442,2021-12-07,8 years,,2020-06-30 00:00:00,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,0,0,0,0,0,,7497,6055.0,2021.0,ACR,,,,,,
ACR189,CAFR5016-I,ACR189,Forest,COP,2020-07-01,2021-06-30,2021.0,7643,1470,2021-12-07,8 years,,2021-06-30 00:00:00,Miller Forest,Edward Miller Trust,"S&A Carbon, LLC",CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=189,0.0,0,0,0,0,0,0,0,,7643,6173.0,2021.0,ACR,,,,,,
ACR190,CALS5023-A,ACR190,Livestock,COP,2011-10-30,2013-10-29,2013.0,19179,,2015-05-26,3 years,2017-11-21 00:00:00,2013-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","First Environment of California, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,19179,0,0,0,0,,0,19179.0,2015.0,ACR,,,,,,
ACR190,CALS5023-B,ACR190,Livestock,COP,2013-10-30,2014-10-29,2014.0,24558,,2016-01-26,3 years,2017-11-21 00:00:00,2014-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","First Environment of California, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,24558,0,0,0,0,,0,24558.0,2016.0,ACR,,,,,,
ACR190,CALS5023-C,ACR190,Livestock,COP,2014-10-30,2015-10-29,2015.0,23610,,2017-11-21,3 years,2018-03-13 00:00:00,2015-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","SES, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,9696,0,0,0,0,,13914,23610.0,2017.0,ACR,,,,,,
ACR190,CALS5023-D,ACR190,Livestock,COP,2015-10-30,2016-10-29,2016.0,22071,,2018-03-13,3 years,2018-08-21 00:00:00,2016-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","Ruby Canyon Engineering, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,0,22071,0,0,0,,0,22071.0,2018.0,ACR,,,,,,
ACR190,CALS5023-E,ACR190,Livestock,COP,2016-10-30,2017-10-29,2017.0,24835,,2018-08-21,3 years,2020-11-13 00:00:00,2017-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","SES, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,0,0,0,24835,0,,0,24835.0,2018.0,ACR,,,,,,
ACR190,CALS5023-F,ACR190,Livestock,COP,2017-10-30,2018-10-29,2018.0,24535,,2020-10-13,3 years,2021-02-23 00:00:00,2018-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC",Dillon Consulting Limited,ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,0,0,0,0,0,,24535,24535.0,2020.0,ACR,,,,,,
ACR190,CALS5023-G,ACR190,Livestock,COP,2018-10-30,2019-10-29,2019.0,25682,,2020-10-13,3 years,2021-02-23 00:00:00,2019-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC",Dillon Consulting Limited,ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,0,0,0,0,0,,25682,25682.0,2020.0,ACR,,,,,,
ACR190,CALS5023-H,ACR190,Livestock,COP,2019-10-30,2020-10-29,2020.0,29681,,2021-02-23,8 years,,2020-10-29 00:00:00,Big Sky Dairy,"DF-AP#1, LLC","Agri-Waste Technology, Inc.",ID,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=190,,0,0,0,29681,0,0,0,,0,29681.0,2021.0,ACR,,,,,,
ACR192,CAFR5029-A,ACR192,Forest,COP,2013-05-13,2013-12-06,2013.0,201277,38726,2015-01-13,8 years,,2013-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Environmental Services, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,38726.0,0,160000,0,0,0,0,0,"On 4/11/2023, CARB retired all 38,726 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C)).",41277,162671.0,2015.0,ACR,,,,,,
ACR192,CAFR5029-B,ACR192,Forest,COP,2013-12-07,2014-12-06,2014.0,6412,1126,2020-10-13,8 years,,2014-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,5286,0,0,0,,1126,5286.0,2020.0,ACR,,,,,,
ACR192,CAFR5029-C,ACR192,Forest,COP,2014-12-07,2015-12-06,2015.0,6569,1153,2020-10-13,8 years,,2015-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,5416,0,0,0,,1153,5416.0,2020.0,ACR,,,,,,
ACR192,CAFR5029-D,ACR192,Forest,COP,2015-12-07,2016-12-06,2016.0,6730,1181,2020-10-13,8 years,,2016-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,5549,0,0,0,,1181,5549.0,2020.0,ACR,,,,,,
ACR192,CAFR5029-E,ACR192,Forest,COP,2016-12-07,2017-12-06,2017.0,6893,1210,2020-10-13,8 years,,2017-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,5683,0,0,0,,1210,5683.0,2020.0,ACR,,,,,,
ACR192,CAFR5029-F,ACR192,Forest,COP,2017-12-07,2018-12-06,2018.0,7060,1239,2020-10-13,8 years,,2018-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,5821,0,0,0,,1239,5821.0,2020.0,ACR,,,,,,
ACR192,CAFR5029-G,ACR192,Forest,COP,2018-12-07,2019-12-06,2019.0,14435,2534,2020-10-13,8 years,,2019-12-06 00:00:00,Green Assets – Brookgreen Gardens Improved Forest Management Project,Brookgreen Gardens,"Aster Global Environmental Solutions, Inc.",SC,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=192,0.0,0,0,0,11901,0,0,0,,2534,11901.0,2020.0,ACR,,,,,,
ACR193,CAOD5035-A,ACR193,ODS,COP,2014-01-26,2014-01-30,2014.0,84418,,2014-04-22,8 years,,2014-01-30 00:00:00,EOS ARB ODS 2013-7,"EOS Climate, Inc.",NSF International,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=193,,0,69554,14864,0,0,0,0,,0,84418.0,2014.0,ACR,,,,,,
ACR195,CAOD5049-A,ACR195,ODS,COP,2014-03-06,2014-04-01,2014.0,122080,,2014-11-25,3 years,2017-05-09 00:00:00,2014-04-01 00:00:00,EOS ARB ODS 2014-1,"EOS Climate, Inc.",NSF International,AR,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=195,,0,122080,0,0,0,0,0,,0,122080.0,2014.0,ACR,,,,,,
ACR196,CAOD5027-A,ACR196,ODS,COP,2012-12-19,2013-11-01,2013.0,56124,,2015-04-21,3 years,2017-02-21 00:00:00,2013-11-01 00:00:00,RR ACR 2013,"RapRec Refrigerants, Inc.","First Environment of California, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=196,,0,12220,43904,0,0,0,0,,0,56124.0,2015.0,ACR,,,,,,
ACR198,CAOD5031-A,ACR198,ODS,COP,2013-12-07,2013-12-15,2013.0,88044,,2014-03-25,3 years,2015-12-22 00:00:00,2013-12-15 00:00:00,Wabashco Clean Sweep 2,"Wabashco, LLC","Ruby Canyon Engineering, Inc.",OH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=198,,0,88044,0,0,0,0,0,,0,88044.0,2014.0,ACR,,,,,,
ACR199,CAFR5034-A,ACR199,Forest,COP,2013-07-08,2014-01-07,2014.0,1442576,276975,2014-12-23,3 years,2018-12-24 00:00:00,2014-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"Environmental Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,276975.0,0,816044,25557,0,0,324000,0,"On 1/24/2023, CARB retired 202,212 of 276,975 credits from the buffer pool for the CAFR5148-A unintentional reversal; on 4/11/2023, CARB retired the remaining 74,763 credits from the buffer pool for the CAFR0070/CAFR5063 uncompensated early project termination (pursuant to section 95983(c)(4)(C)).",276975,1165601.0,2014.0,ACR,,,,,,
ACR199,CAFR5034-B,ACR199,Forest,COP,2014-01-08,2015-01-07,2015.0,121463,23321,2018-12-24,3 years,2022-09-13 00:00:00,2015-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"S&A Carbon, LLC",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,0,0,0,88328,0,0,0,,33135,98142.0,2018.0,ACR,,,,,,
ACR199,CAFR5034-C,ACR199,Forest,COP,2015-01-08,2016-01-07,2016.0,301296,57849,2018-12-24,3 years,2022-09-13 00:00:00,2016-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"S&A Carbon, LLC",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,0,0,0,119113,0,100000,0,,82183,243447.0,2018.0,ACR,,,,,,
ACR199,CAFR5034-D,ACR199,Forest,COP,2016-01-08,2017-01-07,2017.0,124800,23962,2022-09-13,8 years,,2017-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,90755,0,0,0,0,0,0,"90,755 credits were voluntarily retired in December 2022.",34045,131647.0,2022.0,ACR,,,,,,
ACR199,CAFR5034-E,ACR199,Forest,COP,2017-01-08,2018-01-07,2018.0,87187,16740,2022-09-13,8 years,,2018-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,62230,0,0,0,0,0,0,"62,230 credits were voluntarily retired in December 2022.",24957,84482.0,2022.0,ACR,,,,,,
ACR199,CAFR5034-F,ACR199,Forest,COP,2018-01-08,2019-01-07,2019.0,74349,14276,2022-09-13,8 years,,2019-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,51856,0,0,0,0,0,0,"51,856 credits were voluntarily retired in December 2022.",22493,60432.0,2022.0,ACR,,,,,,
ACR199,CAFR5034-G,ACR199,Forest,COP,2019-01-08,2020-01-07,2020.0,143083,27472,2022-09-13,8 years,,2020-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,104050,0,0,0,0,0,0,"104,050 credits were voluntarily retired in December 2022.",39033,122468.0,2022.0,ACR,,,,,,
ACR199,CAFR5034-H,ACR199,Forest,COP,2020-01-08,2021-01-07,2021.0,140738,27022,2022-09-13,8 years,,2021-01-07 00:00:00,Finite Carbon – The Forestland Group CT Lakes,Connecticut Lakes Realty Trust,"GHD Services, Inc.",NH,–,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=199,0.0,91109,0,0,0,0,0,0,"91,109 credits were voluntarily retired in December 2022.",49629,100924.0,2022.0,ACR,,,,,,
ACR200,CAFR5200-A,ACR200,Forest,COP,2013-12-10,2015-06-30,2015.0,65806,12635,2016-09-27,8 years,,2015-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,53171,0,0,0,0,,12635,53171.0,2016.0,ACR,,,,,,
ACR200,CAFR5200-B,ACR200,Forest,COP,2015-07-01,2016-06-30,2016.0,11114,2134,2018-01-09,8 years,,2016-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,0,0,0,8980,0,,2134,8980.0,2018.0,ACR,,,,,,
ACR200,CAFR5200-C,ACR200,Forest,COP,2016-07-01,2017-06-30,2017.0,11678,2242,2018-01-09,8 years,,2017-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,0,0,0,9436,0,,2242,9436.0,2018.0,ACR,,,,,,
ACR200,CAFR5200-D,ACR200,Forest,COP,2017-07-01,2018-06-30,2018.0,12068,2322,2020-05-12,3 years,2022-05-10 00:00:00,2018-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,0,0,0,9746,0,,2322,9746.0,2020.0,ACR,,,,,,
ACR200,CAFR5200-E,ACR200,Forest,COP,2018-07-01,2019-06-30,2019.0,12360,2378,2020-05-12,3 years,2022-05-10 00:00:00,2019-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,0,0,0,9982,0,,2378,9982.0,2020.0,ACR,,,,,,
ACR200,CAFR5200-F,ACR200,Forest,COP,2019-07-01,2020-06-30,2020.0,12600,2424,2020-12-22,3 years,2022-05-10 00:00:00,2020-06-30 00:00:00,Brush Creek,Edward Miller Trust,SCS Global Services,CA,DEBS,–,https://acr2.apx.com/mymodule/reg/prjView.asp?id1=200,0.0,0,0,0,10176,0,0,0,,2424,10176.0,2020.0,ACR,,,,,,
