Project ID,Project Name,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Notes,Cancellation Reason,Cancellation Year,Issuance Year,ARB Project,Unnamed: 16,CAR Cancellation Data,Updated 11-1-23,Total Credits Cancelled:,109950929
CAR1002,Ideal Family Farms Digester Project,2015,CAR-ROC-US-1002-105-513-PA-2015-2182-1 to 2269,2269,2017-04-12,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Beavertown,PENNSYLVANIA,US,,ARB,2017,2017,Compliance,CAR1095.2022,,,,
CAR1002,Ideal Family Farms Digester Project,2014,CAR-ROC-US-1002-105-513-PA-2014-1635-1 to 5829,5829,2015-05-13,Livestock - ARB Compliance,"ARB Compliance Offset Protocol Livestock Projects, October 20, 2011",Beavertown,PENNSYLVANIA,US,,ARB,2015,2015,Compliance,CAR1317.2022,,,,
CAR1003,DPC Domestic ODS Destruction Project #13,2013,CAR-1-US-1003-32-745-AR-2013-1209-1 to 53490,53490,2014-01-22,Ozone Depleting Substances - U.S.,Version 1.0,El Dorado,ARKANSAS,US,,ARB,2014,2013,Early Action,CAR969.2022,,,,
CAR1004,Finite Carbon - Berry Summit,2013,CAR-1-US-1004-25-815-CA-2013-1276-1 to 193277,193277,2015-05-13,Improved Forest Management,Version 3.2,Humboldt County,CALIFORNIA,US,,ARB,2015,2013,Early Action,CAR1436.2022,,,,
CAR1004,Finite Carbon - Berry Summit,2013,CAR-1-US-1004-25-815-CA-2013-1277-1 to 45928,45928,2015-05-13,Improved Forest Management,Version 3.2,Humboldt County,CALIFORNIA,US,,ARB,2015,2013,Early Action,CAR1436.2022,,,,
CAR1007,Maple Leaf Dairy West,2014,CAR-1-US-1007-5-525-WI-2014-1939-1 to 14232,14232,2016-05-11,Livestock Gas Capture/Combustion,Version 3.0,"Cleveland, Manitowoc County",WISCONSIN,US,,ARB,2016,2015,Early Action,CAR1293.2022,,,,
CAR1007,Maple Leaf Dairy West,2013,CAR-1-US-1007-5-525-WI-2013-1940-1 to 6232,6232,2016-05-11,Livestock Gas Capture/Combustion,Version 3.0,"Cleveland, Manitowoc County",WISCONSIN,US,,ARB,2016,2015,Early Action,CAR1293.2022,,,,
CAR101,The van Eck Forest,2014,CAR-1-US-101-1-101-CA-2014-1867-1 to 26502,26502,2016-07-13,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2015,Early Action,CAR1292.2022,,,,
CAR101,The van Eck Forest,2013,CAR-1-US-101-1-101-CA-2013-1868-1 to 23317,23317,2016-07-13,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2015,Early Action,CAR1292.2022,,,,
CAR101,The van Eck Forest,2012,CAR-1-US-101-1-101-CA-2012-1570-1 to 10116,10116,2014-11-07,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2014,Early Action,CAR1098.2022,,,,
CAR101,The van Eck Forest,2012,CAR-1-US-101-1-101-CA-2012-1570-10117 to 35260,25144,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2014,Early Action,CAR1098.2022,,,,
CAR101,The van Eck Forest,2011,CAR-1-US-101-1-101-CA-2011-1582-1 to 37009,37009,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2012,Early Action,CAR1190.2022,,,,
CAR101,The van Eck Forest,2011,CAR-1-US-101-1-101-CA-2011-995-1 to 5000,5000,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2012,Early Action,CAR1190.2022,,,,
CAR101,The van Eck Forest,2011,CAR-1-US-101-1-101-CA-2011-995-5001 to 6781,1781,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2012,Early Action,CAR1002.2022,,,,
CAR101,The van Eck Forest,2010,CAR-1-US-101-1-101-CA-2010-522-1 to 1658,1658,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2011,Early Action,CAR1316.2022,,,,
CAR101,The van Eck Forest,2010,CAR-1-US-101-1-101-CA-2010-522-25001 to 43445,18445,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2011,Early Action,CAR1180.2022,,,,
CAR101,The van Eck Forest,2010,CAR-1-US-101-1-101-CA-2010-522-1659 to 25000,23342,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2011,Early Action,CAR1180.2022,,,,
CAR101,The van Eck Forest,2009,CAR-1-US-101-1-101-CA-2009-311-25001 to 55000,30000,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2010,Early Action,CAR1340.2022,,,,
CAR101,The van Eck Forest,2009,CAR-1-US-101-1-101-CA-2009-311-1 to 4105,4105,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2010,Early Action,CAR1381.2022,,,,
CAR101,The van Eck Forest,2009,CAR-1-US-101-1-101-CA-2009-311-55171 to 71418,16248,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2010,Early Action,CAR1381.2022,,,,
CAR101,The van Eck Forest,2009,CAR-1-US-101-1-101-CA-2009-311-4106 to 25000,20895,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2010,Early Action,CAR1035.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-6001 to 9732,3732,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2009,Early Action,CAR1035.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-25700 to 26699,1000,2016-06-22,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2009,Early Action,CAR1145.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-26700 to 36699,10000,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2009,Early Action,CAR1138.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-36726 to 72830,36105,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2009,Early Action,CAR1337.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-9733 to 25000,15268,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2009,Early Action,CAR1139.2022,,,,
CAR101,The van Eck Forest,2008,CAR-1-US-101-1-101-CA-2008-210-72858 to 73546,689,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2009,Early Action,CAR1139.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-202-319 to 24209,23891,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1265.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-202-24210 to 30000,5791,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1291.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-202-1 to 318,318,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1315.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-202-40181 to 70937,30757,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1124.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-1581-1 to 9137,9137,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1246.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-1581-9170 to 45427,36258,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR993.2022,,,,
CAR101,The van Eck Forest,2007,CAR-1-US-101-1-101-CA-2007-202-31181 to 40180,9000,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR993.2022,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-102-29249 to 29251,3,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1481.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-102-1 to 310,310,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1493.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-102-311 to 23602,23292,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1498.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-102-23603 to 29248,5646,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1298.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-1580-753 to 1110,358,2016-08-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1105.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-1580-8597 to 28090,19494,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1324.2021,,,,
CAR101,The van Eck Forest,2006,CAR-1-US-101-1-101-CA-2006-1580-1 to 752,752,2016-02-10,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,ARB,2016,2008,Early Action,CAR1152.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-5001 to 5008,8,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1100.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-1 to 17,17,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1100.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-18 to 78,61,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR997.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-79 to 258,180,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1209.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-259 to 3378,3120,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1209.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6553 to 6559,7,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1036.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6560 to 6566,7,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1095.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6567 to 6576,10,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1095.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-5009 to 5607,599,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1013.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-5608 to 5752,145,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1013.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-3379 to 3771,393,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1317.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-3772 to 3846,75,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1123.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-3847 to 3896,50,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1215.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-3897 to 4281,385,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1215.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6577 to 6586,10,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1275.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6587 to 6591,5,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1515.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6592 to 6651,60,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR969.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6652 to 6661,10,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1063.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6662 to 6671,10,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1063.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6672 to 6676,5,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1436.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6677 to 6677,1,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1436.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6678 to 6696,19,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1130.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6697 to 6697,1,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1130.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6698 to 6749,52,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1130.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6750 to 6753,4,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1130.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-6754 to 7723,970,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1205.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-7724 to 7960,237,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1205.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-7961 to 7973,13,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1213.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-7974 to 9197,1224,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1213.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-9198 to 9697,500,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1257.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-9698 to 9757,60,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1257.2021,,,,
CAR101,The van Eck Forest,2005,CAR-1-US-101-1-101-CA-2005-101-9758 to 29251,19494,2014-11-04,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,Canceled,2014,2008,Early Action,CAR1062.2021,,,,
CAR1010,"WTE-Dallmann, LLC",2014,CAR-1-US-1010-5-808-WI-2014-1857-1 to 1310,1310,2015-12-23,Livestock Gas Capture/Combustion,Version 3.0,"Brillion, Calumet County",WISCONSIN,US,,ARB,2015,2015,Early Action,CAR1062.2021,,,,
CAR1010,"WTE-Dallmann, LLC",2013,CAR-1-US-1010-5-808-WI-2013-1858-1 to 7332,7332,2015-12-23,Livestock Gas Capture/Combustion,Version 3.0,"Brillion, Calumet County",WISCONSIN,US,,ARB,2015,2015,Early Action,CAR1062.2021,,,,
CAR1011,A-GAS RemTec 2013-1,2013,CAR-ROC-US-1011-132-377-OH-2013-1462-1 to 93055,93055,2015-03-11,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",Bowling Green,OHIO,US,,ARB,2015,2014,Compliance,CAR1062.2021,,,,
CAR1012,DPC Domestic ODS Destruction Project #14,2013,CAR-ROC-US-1012-132-745-AR-2013-1360-1 to 23276,23276,2014-03-26,Ozone Depleting Substances - U.S. - ARB Compliance,"Compliance Offset Protocol ARB Ozone Depeleting Substances Projects, October 20, 2011",El Dorado,ARKANSAS,US,,ARB,2014,2014,Compliance,CAR1373.2021,,,,
CAR1013,Buckeye Forest Project,2021,CAR-ROC-US-1013-125-102-CA-2021-6867-1 to 110099,110099,2022-09-19,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2022,2022,Compliance,CAR1373.2021,,,,
CAR1013,Buckeye Forest Project,2021,CAR-ROC-US-1013-125-102-CA-2021-6868-1 to 26223,26223,2022-09-19,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2022,2022,Compliance,CAR1374.2021,,,,
CAR1013,Buckeye Forest Project,2020,CAR-ROC-US-1013-125-102-CA-2020-6467-1 to 106375,106375,2021-07-14,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2021,2021,Compliance,CAR1374.2021,,,,
CAR1013,Buckeye Forest Project,2020,CAR-ROC-US-1013-125-102-CA-2020-6468-1 to 25336,25336,2021-07-14,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2021,2021,Compliance,CAR1197.2021,,,,
CAR1013,Buckeye Forest Project,2019,CAR-ROC-US-1013-125-102-CA-2019-6025-1 to 101395,101395,2020-08-12,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2020,2020,Compliance,CAR1197.2021,,,,
CAR1013,Buckeye Forest Project,2019,CAR-ROC-US-1013-125-102-CA-2019-6026-1 to 24150,24150,2020-08-12,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2020,2020,Compliance,CAR1173.2021,,,,
CAR1013,Buckeye Forest Project,2018,CAR-ROC-US-1013-125-102-CA-2018-5744-1 to 95801,95801,2019-05-23,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2019,2019,Compliance,CAR1173.2021,,,,
CAR1013,Buckeye Forest Project,2018,CAR-ROC-US-1013-125-102-CA-2018-5745-1 to 22818,22818,2019-05-23,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2019,2019,Compliance,CAR1293.2021,,,,
CAR1013,Buckeye Forest Project,2017,CAR-ROC-US-1013-125-102-CA-2017-5432-1 to 58030,58030,2018-09-17,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2018,2018,Compliance,CAR1293.2021,,,,
CAR1013,Buckeye Forest Project,2017,CAR-ROC-US-1013-125-102-CA-2017-5433-1 to 13821,13821,2018-09-17,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2018,2018,Compliance,CAR1292.2021,,,,
CAR1013,Buckeye Forest Project,2016,CAR-ROC-US-1013-125-102-CA-2016-2229-1 to 79600,79600,2017-06-28,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2017,2017,Compliance,CAR1292.2021,,,,
CAR1013,Buckeye Forest Project,2016,CAR-ROC-US-1013-125-102-CA-2016-2230-1 to 18959,18959,2017-06-28,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,ARB,2017,2017,Compliance,CAR1281.2021,,,,
CAR1013,Buckeye Forest Project,2015,CAR-ROC-US-1013-125-102-CA-2015-2031-95540 to 97407,1868,2016-12-14,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,Canceled,2016,2016,Compliance,CAR1098.2021,,,,
CAR1013,Buckeye Forest Project,2015,CAR-ROC-US-1013-125-102-CA-2015-2032-22757 to 23200,444,2016-12-14,Improved Forest Management - ARB Compliance,"ARB Compliance Offset Protocol U.S. Forest Projects, October 20, 2011",Sonoma County,CALIFORNIA,US,,Canceled,2016,2016,Compliance,CAR1098.2021,,,,
