Project ID,Project Name,ARB ID,Cooperative/ Aggregate ID,Project Developer,Project Owner,Offset Project Operator,Authorized Project Designee,Verification Body,Project Type,Status,ARB Project Status,Project Site Location,Project Site State,Project Site Country,Additional Certifications,SDG Impact,Project Notes,Total Number of Offset Credits Registered ,Project Listed Date,Project Registered Date,Project Website,CAR Source Data,Updated 11-1-23,Total Projects:,872,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,34
CAR1010,"WTE-Dallmann, LLC",CALS0113,,"WTE-Dallmann, LLC","WTE-Dallmann, LLC","WTE-Dallmann, LLC",,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,"Brillion, Calumet County",WISCONSIN,US,,,,8642.0,2013-09-25,2015-08-20,,,,,,,,,,,,,
CAR1011,A-GAS RemTec 2013-1,CAOD5018,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc. dba A-GAS RemTec",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,93055.0,2013-08-23,2014-05-22,www.remtec.net,,,,,,,,,,,,
CAR1012,DPC Domestic ODS Destruction Project #14,CAOD5022,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,23276.0,2013-09-11,2014-01-21,www.divpc.com,,,,,,,,,,,,
CAR1013,Buckeye Forest Project,CAFR5055,,The Conservation Fund,The Conservation Fund,Sustainable Conservation Inc.,The Conservation Fund,"S&A Carbon, LLC",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Sonoma County,CALIFORNIA,US,,,,1133450.0,2013-10-09,2015-06-08,,,,,,,,,,,,,
CAR1014,"Storms Hog Power, LLC",CALS0104,,"Camco International Group, Inc.","Camco International Group, Inc.","Camco International Group, Inc.",,,Livestock Gas Capture/Combustion,Completed,Not ARB Eligible,Bladenboro,NORTH CAROLINA,US,,,,17339.0,2013-10-15,2015-02-24,,,,,,,,,,,,,
CAR1015,Rips Redwoods,CAFR0100,,"Rips Redwoods, LLC","Rips Redwoods, LLC",Rips Redwoods LLC,"David Katz, 2152 Orchard St., Santa Rosa, CA 95404  tel: 707 484 6283",,Improved Forest Management,Registered,Not ARB Eligible,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,,,173401.0,2013-10-31,2014-10-28,www.forestdata.com,,,,,,,,,,,,
CAR1016,DPC Domestic ODS Destruction Project #15,CAOD5024,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,46275.0,2013-10-15,2014-01-30,www.divpc.com,,,,,,,,,,,,
CAR1017,GEC Organics,,,GEC Organics,GEC Organics,,,,Organic Waste Composting,Completed,Not ARB Eligible,Castleberry Alabama 36432,ALABAMA,US,,,,,2013-11-04,,www.gecorganics.us,,,,,,,,,,,,
CAR1019,LA PERSEVERANCIA BIOGAS PLANT,,,Energía Renovable de Cuautla S.A. de C.V.,Energía Renovable de Cuautla S.A. de C.V.,,,,Landfill - MX,Registered,Not ARB Eligible,CUAUTLA,MORELOS,MX,,,,62745.0,2013-10-22,2018-07-18,,,,,,,,,,,,,
CAR102,Garcia River Forest,CAFR0040,,The Conservation Fund,The Conservation Fund,,,,Conservation-Based Forest Management,Transitioned,Not ARB Eligible,Mendocino County,CALIFORNIA,US,,,,1849397.0,2005-07-01,2008-12-24,,,,,,,,,,,,,
CAR1021,EOS ARB ODS 2013-8,CAOD5048,,EOS Climate Inc.,EOS Climate Inc.,EOS Climate Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,ARKANSAS,US,,,,67490.0,2013-12-24,2014-04-11,www.eosclimate.com,,,,,,,,,,,,
CAR1022,New Energy One Livestock Project,CALS5032,,"3Degrees Group, Inc","3Degrees Group, Inc","3Degrees Group, Inc",,"Ruby Canyon Environmental, Inc.",Livestock - ARB Compliance,Completed,Active ARB Project,"Outside of Twin Falls, Idaho",IDAHO,US,,,,226281.0,2013-12-09,2014-05-03,,,,,,,,,,,,,
CAR1023,Coolgas ODS 2013 Project #1,CAOD0091,,"COOLGAS, INC.","COOLGAS, INC.","Coolgas, inc",none,,Ozone Depleting Substances - U.S.,Completed,Not ARB Eligible,Bowling Green,OHIO,US,,,,108627.0,2013-10-17,2014-06-04,www.coolgas.com,,,,,,,,,,,,
CAR1025,DPC Domestic ODS Destruction Project #16,CAOD5026,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,24874.0,2013-11-06,2014-03-28,www.divpc.com,,,,,,,,,,,,
CAR1026,EOS ARB ODS 2014-2,CAOD5065,,EOS Climate Inc.,EOS Climate Inc.,EOS Climate Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,CALIFORNIA,US,,,,33214.0,2013-11-26,2014-11-20,www.eosclimate.com,,,,,,,,,,,,
CAR1027,"Rentech Nitrogen, LLC - Nitric Acid Plant 2",,,"East Dubuque Nitrogen Fertilizers, LLC","East Dubuque Nitrogen Fertilizers, LLC",,,,Nitric Acid N2O- Secondary Catalyst,Registered,Not ARB Eligible,"Joe Davies County, East Dubuque, Illinois",ILLINOIS,US,,,,1226099.0,2014-05-14,2015-07-13,,,,,,,,,,,,,
CAR1028,Finite Carbon - Lyme GLS,CAFR5054,,GLS Woodlands LLC,GLS Woodlands LLC,GLS Woodlands LLC,,"Environmental Services, Inc.",Improved Forest Management - ARB Compliance,Completed,Inactive,"Washington County, Grand Lake Stream",MAINE,US,,,,,2014-03-03,,,,,,,,,,,,,,
CAR1029,ECC ODS Destruction 11-2013,CAOD5033,,Environmental Credit Corp.,21st Century Fox,Environmental Credit Corp.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"El Dorado, AR",ARKANSAS,US,,,,113438.0,2013-12-11,2014-12-05,www.envcc.com,,,,,,,,,,,,
CAR1032,Virginia Highlands I,CAFR5037,,The Nature Conservancy,The Nature Conservancy,"CF Highlands, LLC",,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Russell, Buchanan and Dickenson Counties; southwestern Virginia",VIRGINIA,US,,,,412505.0,2014-01-02,2015-01-24,,,,,,,,,,,,,
CAR1033,Sunny Knoll Farms Anaerobic Digester,CALS5042,,"3Degrees Group, Inc","3Degrees Group, Inc",Sunny Knoll Farms,"3Degrees Group, Inc",,Livestock - ARB Compliance,Registered,Active ARB Project,"Near Rochester, NY",NEW YORK,US,,,Reported under CAR490 prior to transition to the ARB Compliance Offset Protocol,31087.0,2014-02-10,2014-07-31,,,,,,,,,,,,,
CAR1035,Scenic View Dairy Methane Reduction Project,CALS5040,,"3Degrees Group, Inc","3Degrees Group, Inc","Scenic View Dairy, LLC","3Degrees Group, Inc",,Livestock - ARB Compliance,Completed,,Fennville,MICHIGAN,US,,,Reported under CAR418 prior to transition to the ARB Compliance Offset Protocol,161083.0,2014-01-15,2015-10-08,,,,,,,,,,,,,
CAR1036,Brook View Dairy Methane Reduction Project,CALS5041,,"3Degrees Group, Inc","3Degrees Group, Inc","Brook View Dairy, LLC","3Degrees Group, Inc",,Livestock - ARB Compliance,Registered,Active ARB Project,Freeport,MICHIGAN,US,,,Reported under CAR419 prior to transition to the ARB Compliance Offset Protocol,153757.0,2014-01-15,2014-08-25,,,,,,,,,,,,,
CAR1040,SPI Wildfire Reforestation Project #2,,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,,Reforestation,Completed,Not ARB Eligible,"Butte, Calaveras, Lassen, Placer, Plumas, Shasta, Trinity and Toulumne Counties",CALIFORNIA,US,,,,,2013-12-27,2019-03-27,,,,,,,,,,,,,
CAR1041,Sacramento Canyon ARB001,CAFR5038,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Shasta County,CALIFORNIA,US,,,,819634.0,2014-02-03,2016-02-16,,,,,,,,,,,,,
CAR1042,SPI Wildfire Reforestation Project #3,,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,,Reforestation,Completed,Not ARB Eligible,"Calaveras, El Dorado, Lassen, Shasta, and Toulumne Counties",CALIFORNIA,US,,,,,2013-12-27,2019-03-27,,,,,,,,,,,,,
CAR1044,SPI Wildfire Reforestation Project #5,,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,,Reforestation,Completed,Not ARB Eligible,"Amador, Butte, El Dorado, and Tuolumne Counties",CALIFORNIA,US,,,,,2013-12-27,2019-03-27,,,,,,,,,,,,,
CAR1046,Trinity Timberlands University Hill Improved Forest Management Project,CAFR5076,,"Forest Carbon Partners, L.P.","Forest Carbon Partners, L.P.",Trinity Timberlands LLC,"Forest Carbon Partners, L.P.",,Improved Forest Management - ARB Compliance,Completed,Terminated,Trinity County,CALIFORNIA,US,,,Project terminated due to an unintentional reversal,847895.0,2014-07-09,2015-04-30,www.forestcarbonpartners.com,,,,,,,,,,,,
CAR1047,DPC Domestic ODS Destruction Project #17,CAOD5036,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,30587.0,2014-01-16,2014-12-15,www.divpc.com,,,,,,,,,,,,
CAR1049,Pagel's Ponderosa Dairy Methane Reduction Project,CALS5097,,"3Degrees Group, Inc","3Degrees Group, Inc",Pagel's Ponderosa Dairy,"3Degrees Group, Inc",,Livestock - ARB Compliance,Completed,,"Kewaunee, Wisconsin",WISCONSIN,US,,,,70206.0,2014-11-07,2015-10-16,http://pagelsponderosa.com/,,,,,,,,,,,,
CAR1050,Lawton GCCS,,,City of Lawton,City of Lawton,,,,Landfill Gas Capture/Combustion,Registered,Not ARB Eligible,"City of Lawton, Comanche County",OKLAHOMA,US,,,,339760.0,2014-02-04,2015-09-25,,,,,,,,,,,,,
CAR1051,A-GAS RemTec 2013-4,CAOD5039,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc dba A-GAS RemTec",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green Ohio,OHIO,US,,,,191960.0,2014-02-06,2014-12-10,www.remtec.net,,,,,,,,,,,,
CAR1055,T&M Bos Dairy,CALS5044,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Livestock - ARB Compliance,Registered,Active ARB Project,"Fair Oaks, Indiana",INDIANA,US,,,,66331.0,2014-02-19,2015-01-14,,,,,,,,,,,,,
CAR1056,T&M Herrema Dairy,CALS5045,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Livestock - ARB Compliance,Registered,Active ARB Project,"Fair Oaks, Indiana",INDIANA,US,,,,64763.0,2014-02-19,2015-01-21,,,,,,,,,,,,,
CAR1057,T&M Hidden View Dairy,CALS5046,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Livestock - ARB Compliance,Registered,Active ARB Project,"Rensselaer, Indiana",INDIANA,US,,,,87149.0,2014-02-19,2015-01-07,,,,,,,,,,,,,
CAR1058,T&M Windy Ridge Dairy,CALS5047,,ClimeCo LLC,ClimeCo LLC,ClimeCo Corporation,,,Livestock - ARB Compliance,Completed,Terminated,"Fair Oaks, Indiana",INDIANA,US,,,,129777.0,2014-02-19,2015-01-09,,,,,,,,,,,,,
CAR1059,DPC Domestic ODS Destruction Project #19,CAOD5050,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LL",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,99696.0,2014-03-04,2015-01-06,www.divpc.com,,,,,,,,,,,,
CAR1062,Finite Carbon - Shannondale Tree Farm,CAFR5057,,"Shannondale Carbon, LLC","Shannondale Carbon, LLC","Shannondale Carbon, LLC",Finite Carbon Corp.,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Ozark mountains near shannondale MO,MISSOURI,US,,,Reported under CAR780 prior to transition to the ARB Compliance Offset Protocol,33888.0,2014-04-25,2016-05-04,,,,,,,,,,,,,
CAR1063,Farm Cove Community Forest,CAFR5051,,Downeast Lakes Land Trust,Downeast Lakes Land Trust,Downeast Lakes Land Trust,,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Near Grand Lake Stream ME,MAINE,US,,,Reported under CAR657 prior to transition to the ARB Compliance Offset Protocol,223346.0,2014-04-02,2016-08-08,,,,,,,,,,,,,
CAR1064,Van-Erk Dairy Digester Project,CALS5060,,"Native, a Public Benefit Corporation","Native, a Public Benefit Corporation","Van-Erk Dairy, LLC","NativeEnergy, Inc.",,Livestock - ARB Compliance,Registered,Active ARB Project,Haviland,OHIO,US,,,Reported under CAR890 prior to transition to the ARB Compliance Offset Protocol,10076.0,2014-05-09,2015-01-21,,,,,,,,,,,,,
CAR1065,ABEC New Hope LLC,CALS5071,,"California Bioenergy, LLC","California Bioenergy, LLC",California Bioenergy LLC,,,Livestock - ARB Compliance,Completed,Terminated,"9547 New Hope Road, Galt, CA 95632",CALIFORNIA,US,,,"Terminated due to project developer request, 3/31/2020",4978.0,2014-06-24,2020-04-06,www.calbioenergy.com,,,,,,,,,,,,
CAR1066,Buck Mountain ARB002,CAFR5058,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Siskiyou County,CALIFORNIA,US,,,,396583.0,2014-04-25,2016-02-05,,,,,,,,,,,,,
CAR1067,Sustainable Mountain IFM,CAFR5063,,"Sustainable Mountain Center, LLC","Sustainable Mountain Center, LLC","Sustainable Mountain Center, LLC",,,Improved Forest Management - ARB Compliance,Completed,Terminated,"Humboldt County, CA (near Willow Creek)",CALIFORNIA,US,,,Reported under CAR1004 prior to transition to the ARB Compliance Offset Protocol,4343.0,2014-05-07,2014-10-31,,,,,,,,,,,,,
CAR1068,ECC ODS Destruction 2-2014,CAOD5059,,Environmental Credit Corp.,Environmental Credit Corp.,Environmental Credit Corp.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,El Dorado,ARKANSAS,US,,,,126314.0,2014-04-25,2015-02-23,www.envcc.com,,,,,,,,,,,,
CAR1069,A-GAS RemTec 2013-5,CAOD5062,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc.",,"Ruby Canyon Environmental, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,"Bowling Green, Ohio",OHIO,US,,,,129101.0,2014-05-07,2015-05-05,www.remtec.net,,,,,,,,,,,,
CAR1070,Phase 1 Sustainable Forest Project,CAFR5090,,Yurok Tribe,Yurok Tribe,Yurok Tribe,,"Ruby Canyon Environmental, Inc.",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Humboldt County,CALIFORNIA,US,,,Reported under CAR777 prior to transition to the ARB Compliance Offset Protocol,816381.0,2014-08-18,2019-01-28,,,,,,,,,,,,,
CAR1071,DPC Domestic ODS Destruction Project #20,CAOD5066,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"El Dorado, Arkansas",ARKANSAS,US,,,,17848.0,2014-06-03,2015-02-10,www.divpc.com,,,,,,,,,,,,
CAR1072,A-GAS RemTec 2014-1,CAOD5067,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc",,"Ruby Canyon Environmental, Inc.",Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,129838.0,2014-05-29,2014-10-02,www.remtec.net,,,,,,,,,,,,
CAR1074,EOS CAR 1074,CAOD5073,,EOS Climate Inc.,EOS Climate Inc.,EOS Climate Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Active ARB Project,El Dorado,ARKANSAS,US,,,,57134.0,2014-07-01,2016-08-04,www.eosclimate.com,,,,,,,,,,,,
CAR1075,EOS CAR 1075,CAOD5080,,EOS Climate Inc.,EOS Climate Inc.,EOS Climate Inc.,,,Ozone Depleting Substances - U.S. - ARB Compliance,Listed,Inactive,El Dorado,ARKANSAS,US,,,,,2014-07-24,,www.eosclimate.com,,,,,,,,,,,,
CAR1076,CSE Arizona Facility,CALS5074,,"CSE Operating I, LLC","CSE Operating I, LLC","CSE Operating I, LLC",,,Livestock - ARB Compliance,Completed,,"Buckeye, Arizona",ARIZONA,US,,,,105788.0,2014-07-01,2015-03-23,,,,,,,,,,,,,
CAR1077,Linde,CALS5075,,"CSE Operating II, LLC","CSE Operating II, LLC","CSE Operating II, LLC",,,Livestock - ARB Compliance,Completed,Terminated,"White, S. Dakota",SOUTH DAKOTA,US,,,,2975.0,2014-07-08,2015-04-06,,,,,,,,,,,,,
CAR1078,Stotz Southern Generation,CALS5077,,"Solar & Renewables Management, LLC","Solar & Renewables Management, LLC","Solar & Renewables Management, LLC",,,Livestock - ARB Compliance,Completed,,"Buckeye, Arizona",ARIZONA,US,,,Reported under CAR804 prior to transition to the ARB Compliance Offset Protocol,117648.0,2014-07-14,2015-05-11,,,,,,,,,,,,,
CAR1080,George DeRuyter and Sons Dairy Methane Reduction Project,CALS5094,,"3Degrees Group, Inc","3Degrees Group, Inc",George DeRuyter and Sons Dairy LLC,"3Degrees Group, Inc",,Livestock - ARB Compliance,Completed,,Near Yakima County,WASHINGTON,US,,,,45849.0,2014-09-17,2016-09-12,,,,,,,,,,,,,
CAR1081,"Roeslein Alternative Energy of Missouri, LLC - Valley View",CALS5184,,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC",,,Livestock - ARB Compliance,Completed,,"Sullivan County, MO",MISSOURI,US,,,,32105.0,2014-09-26,2019-11-19,www.roesleinae.com,,,,,,,,,,,,
CAR1082,Qualco Energy,CALS5091,,Whole Energy Fuels Corporation,Whole Energy Fuels Corporation,Qualco Energy,none,,Livestock - ARB Compliance,Completed,Inactive,Monroe,WASHINGTON,US,,,,,2014-07-28,,www.qualco-energy.org/,,,,,,,,,,,,
CAR1083,"Roeslein Alternative Energy of Missouri, LLC - South Meadow",CALS5081,,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC",,,Livestock - ARB Compliance,Registered,Active ARB Project,"Sullivan County, MO",MISSOURI,US,,,,99299.0,2014-07-24,2016-08-05,www.roesleinae.com,,,,,,,,,,,,
CAR1084,"Roeslein Alternative Energy of Missouri, LLC - Whitetail",CALS5082,,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC",,"Ruby Canyon Environmental, Inc.",Livestock - ARB Compliance,Listed,Proposed Project,"Putnam County, MO, near Unionville",MISSOURI,US,,,,,2014-07-24,,www.roesleinae.com,,,,,,,,,,,,
CAR1085,"Roeslein Alternative Energy of Missouri, LLC - Ruckman",CALS5083,,"Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC","Roeslein Alternative Energy of Missouri, LLC",,"Ruby Canyon Environmental, Inc.",Livestock - ARB Compliance,Completed,Terminated,"Gentry County, MO, near Albany, MO",MISSOURI,US,,,,3968.0,2014-07-24,2015-04-10,www.roesleinae.com,,,,,,,,,,,,
CAR1086,Finite Carbon - Potlatch Moro Big Pine CE IFM,CAFR5084,,"Potlatch Forest Holdings, Inc.","Potlatch Forest Holdings, Inc.","Potlatch Forest Holdings, Inc.",,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Calhoun County, Arkansas",ARKANSAS,US,,,,164579.0,2014-07-29,2015-06-16,,,,,,,,,,,,,
CAR1087,DPC Domestic ODS Destruction Project #21,CAOD5078,,"Diversified Pure Chem, LLC","Diversified Pure Chem, LLC","Diversified Pure Chem, LLC",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,"Bowling Green, Ohio",OHIO,US,,,,128161.0,2014-07-22,2015-07-15,www.divpc.com,,,,,,,,,,,,
CAR1088,Finite Carbon - JTO Champion Property IFM,CAFR5089,,"Jackson Timberland Opportunities-Champion, LLC","Jackson Timberland Opportunities-Champion, LLC","Jackson Timberland Opportunities-Champion, LLC",,"Aster Global Environmental Solutions, Inc.",Improved Forest Management - ARB Compliance,Registered,Active ARB Project,"Near Tupper Lake, New York",NEW YORK,US,,,Reported under CAR645 prior to transition to the ARB Compliance Offset Protocol,1138189.0,2014-08-18,2015-06-16,,,,,,,,,,,,,
CAR1089,A-GAS RemTec 2014-2,CAOD5079,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc.",,,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,Completed,Bowling Green,OHIO,US,,,,107744.0,2014-07-23,2015-05-20,www.remtec.net,,,,,,,,,,,,
CAR1090,Big Bend,CAFR5085,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,SCS Global Services,Improved Forest Management - ARB Compliance,Listed,Proposed Project,Shasta County,CALIFORNIA,US,,,,,2014-08-06,,,,,,,,,,,,,,
CAR1091,Dry Burney,CAFR5086,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,SCS Global Services,Improved Forest Management - ARB Compliance,Listed,Proposed Project,Shasta County,CALIFORNIA,US,,,,,2014-08-06,,,,,,,,,,,,,,
CAR1092,Big Valley,CAFR5087,,Sierra Pacific Industries,Sierra Pacific Industries,Sierra Pacific Industries,,SCS Global Services,Improved Forest Management - ARB Compliance,Registered,Active Registry Project,Lassen and Modoc Counties California,CALIFORNIA,US,,,,52124.0,2014-08-06,2017-03-31,,,,,,,,,,,,,
CAR1093,A-GAS RemTec 2014-3,CAOD5092,,Reclamation Technologies Inc.,Reclamation Technologies Inc.,"Reclamation Technologies, Inc.",,SCS Engineers,Ozone Depleting Substances - U.S. - ARB Compliance,Completed,,Bowling Green,OHIO,US,,,,148331.0,2014-09-03,2015-11-05,www.remtec.net,,,,,,,,,,,,
CAR1094,Ashford III,CAFR5095,,Nisqually Land Trust,Nisqually Land Trust,"Nisqually Land Trust, Joe Kane",,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Ashford,WASHINGTON,US,,,,61139.0,2014-09-23,2015-10-22,,,,,,,,,,,,,
CAR1095,Brushy Mountain,CAFR5096,,"Coastal Forestlands, LTD., a California Limited Partnership","Coastal Forestlands, LTD., a California Limited Partnership","Coastal Forestlands, LTD., a California Limited Partnership",James D. Clark,,Improved Forest Management - ARB Compliance,Registered,Active ARB Project,Mendocino County,CALIFORNIA,US,,,,2203419.0,2014-10-01,2015-09-22,,,,,,,,,,,,,
CAR1096,Lenz Composting,,,ClimeCo LLC,ClimeCo LLC,,,"Agri-Waste Technology, Inc.",Organic Waste Composting,Registered,Not ARB Eligible,5210 SR 532 Stanwood WA 98292 (Snohomish County),WASHINGTON,US,,,,79651.0,2014-10-10,2015-12-30,,,,,,,,,,,,,
CAR1097,Dairy Dreams Methane Reduction Project,CALS5109,,"3Degrees Group, Inc","3Degrees Group, Inc","Dairy Dreams, LLC","3Degrees Group, Inc",,Livestock - ARB Compliance,Registered,Active ARB Project,Near Green Bay,WISCONSIN,US,,,,67385.0,2015-01-22,2016-02-24,,,,,,,,,,,,,
