Project ID,Vintage,Offset Credit Serial Numbers,Quantity of Offset Credits,Status Effective,Project Name,Project Type,Protocol Version,Project Site Location,Project Site State,Project Site Country,Additional Certification(s) / SDGs,CORSIA Eligible,Account Holder,Retirement Reason,Retirement Reason Details,Retirement Year,CAR Retirement Data,Updated 11-1-23,Total Credits Retired:,61317505
CAR1009,2014,CAR-1-US-1009-5-818-OR-2014-1950-1 to 54101,54101,2016-01-19,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired as part of PGE PW2 plant OR CO2 Standard,2016,,,,
CAR1009,2014,CAR-1-US-1009-5-818-OR-2014-1950-54102 to 67201,13100,2016-01-19,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired for PGE Carty plant OR CO2 Standard,2016,,,,
CAR1009,2013,CAR-1-US-1009-5-818-OR-2013-1951-15001 to 40580,25580,2016-01-19,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Compliance Requirements,Retired as part of PGE PW2 plant OR CO2 Standard,2016,,,,
CAR1009,2013,CAR-1-US-1009-5-818-OR-2013-1951-1 to 15000,15000,2016-01-19,Threemile Canyon Farm Digester Project,Livestock Gas Capture/Combustion,Version 3.0,Morrow County: Near Boardman,OREGON,US,,No,The Climate Trust,Retail Program Requirements,Retired for NWN Smart Energy program customers,2016,,,,
CAR101,2009,CAR-1-US-101-1-101-CA-2009-311-55001 to 55170,170,2012-02-24,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Climate Action Reserve Blind Trust,On Behalf of Third Party,2010 Governors Global Climate Change Summit,2012,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-36700 to 36725,26,2013-12-10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2013,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-5001 to 6000,1000,2012-03-29,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,On Behalf of CH2M Hill,2012,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25395 to 25399,5,2014-04-30,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,RY2013– C3 - Lolla Event Offset,2014,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25400 to 25699,300,2011-05-31,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Environmental Benefit,,2011,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-601 to 2900,2300,2010-02-17,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,On Behalf of CH2MHill,2010,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-1 to 600,600,2010-02-17,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,,2010,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25001 to 25064,64,2009-05-27,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Retirement for Person or Organization,,2009,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25065 to 25264,200,2010-03-03,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"BGC Environmental Brokerage Services, L.P.",Environmental Benefit,,2010,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25265 to 25299,35,2010-06-14,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ecovine Solutions purchase,2010,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-2901 to 5000,2100,2011-02-10,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,CH2M Hill,2011,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-25300 to 25394,95,2011-07-07,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,On Behalf of Third Party,2010 Retirements,2011,,,,
CAR101,2008,CAR-1-US-101-1-101-CA-2008-210-72831 to 72857,27,2015-12-15,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2015,,,,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30101 to 30180,80,2012-01-06,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,Environmental Benefit,2011 U.S. Capitol Christmas Tree Project,2012,,,,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30001 to 30095,95,2010-09-07,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,San Diego Padres,2010,,,,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30096 to 30100,5,2014-04-30,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Green Mountain Energy,Environmental Benefit,RY2013– C3 - Lolla Event Offset,2014,,,,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-202-30181 to 31180,1000,2014-05-21,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"The Eco Products Fund, L.P.",On Behalf of Third Party,CH2M Hill,2014,,,,
CAR101,2007,CAR-1-US-101-1-101-CA-2007-1581-9138 to 9169,32,2015-01-02,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,California Environmental Associates,2015,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-8037 to 8536,500,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,City/County of San Francisco - Sustainable Journey,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5392 to 5398,7,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,for Eileen Wenger Tutt,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5007 to 5391,385,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5516 to 5516,1,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The California Assembly Democratic Caucus,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5536 to 5536,1,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,CA Assembly Speaker Fabian Nuñez,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-8537 to 8596,60,2014-11-06,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Select PG&E employees,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4957 to 5006,50,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5416 to 5425,10,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ronnie Swartz,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1111 to 1127,17,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1128 to 1188,61,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1189 to 1368,180,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-1369 to 4488,3120,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4489 to 4881,393,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-4882 to 4956,75,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,On Behalf of Third Party,,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5399 to 5405,7,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,for Linda Adams,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5406 to 5415,10,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Daniel Faulk,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5426 to 5430,5,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"Becky, Robert, William, and LaVerne Whitehead",2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5431 to 5490,60,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"A + M Abramowitz, Dr. W Killmann, D + A Tuttle",2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5491 to 5500,10,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Lori and Peter Look,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5501 to 5510,10,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Jim Roush and Cynthia Wayburn,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5511 to 5515,5,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Ron Duke,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5517 to 5535,19,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Friends of CA Climate Registry,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5537 to 5588,52,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Honorable Speaker Nancy Pelosi,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5589 to 5592,4,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,Joan Irwin and Peter Davis,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-5593 to 6562,970,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,"Oak Productions, Inc.",2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6563 to 6799,237,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Members of the California State Assembly (2007,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6800 to 6812,13,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,On Behalf of Third Party,The Honorable Speaker Fabian Nuñez,2014,,,,
CAR101,2006,CAR-1-US-101-1-101-CA-2006-1580-6813 to 8036,1224,2014-11-05,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,Fred M Van Eck Forest Foundation for Purdue University,Compliance Requirements,"Belvedere Property Management, LLC",2014,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4397 to 4926,530,2009-09-24,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4927 to 4992,66,2009-09-24,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4993 to 5000,8,2009-09-24,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2009,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6253 to 6258,6,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Big Bend Coffee Roasters 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6327 to 6328,2,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Cypton, Inc. (InCase) 2008",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6329 to 6338,10,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Cypton, Inc. (InCase) 2009",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6339 to 6340,2,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Dan Vermeer 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6341 to 6349,9,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Hycrete, Inc.",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6350 to 6373,24,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Jims Organic Coffee 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6374 to 6427,54,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Scout Real Estate Capital, LLC 2008",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6428 to 6431,4,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Terrapin Bright Green 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6432 to 6460,29,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Terrapin Bright Green 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6461 to 6461,1,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Va. Sustainable Building Network 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6259 to 6283,25,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Crypton, Inc. 2008",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6284 to 6326,43,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,"Crypton, Inc. 2008",2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6462 to 6462,1,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,Virginia Tech 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-6463 to 6552,90,2011-02-08,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,"Sterling Planet, Inc.",On Behalf of Third Party,ACORE 2008,2011,,,,
CAR101,2005,CAR-1-US-101-1-101-CA-2005-101-4282 to 4396,115,2014-11-04,The van Eck Forest,Conservation-Based Forest Management,Version 2.1,Humboldt County,CALIFORNIA,US,,No,3Degrees Inc.,Retirement for Person or Organization,,2014,,,,
CAR1015,2017,CAR-1-US-1015-25-830-CA-2017-6173-2419 to 7287,4869,2021-05-26,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2433",2021,,,,
CAR1015,2016,CAR-1-US-1015-25-830-CA-2016-6175-1 to 7287,7287,2021-05-26,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2432",2021,,,,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-1 to 450,450,2020-11-30,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,Sarah Barton,2020,,,,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-451 to 950,500,2021-05-26,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2431",2021,,,,
CAR1015,2015,CAR-1-US-1015-25-830-CA-2015-6177-1001 to 7287,6287,2021-05-26,Rips Redwoods,Improved Forest Management,Version 3.2,"Sonoma County, on Skaggs Springs Road 2.5 miles east of Stewarts Point (CA Highway 1).",CALIFORNIA,US,,No,Pachama Inc.,On Behalf of Third Party,"On behalf of Netflix, 2431",2021,,,,
CAR1019,2019,CAR-1-MX-1019-43-811-MR-2019-5978-1 to 4394,4394,2021-04-16,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,,,,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-2571 to 3228,658,2021-04-16,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,,,,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-3229 to 4495,1267,2021-04-16,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,,,,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5979-1268 to 7772,6505,2021-04-16,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,ACT Commodities Inc.,On Behalf of Third Party,OBO Spark Energy customers in Illinois for RY20,2021,,,,
CAR1019,2018,CAR-1-MX-1019-43-811-MR-2018-5894-1 to 2570,2570,2021-06-19,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,"Lightstone Consulting, LLC",Environmental Benefit,Retired on behalf of PCC Community Markets by Evergreen Carbon,2021,,,,
CAR1019,2017,CAR-1-MX-1019-43-811-MR-2017-5504-1 to 174,174,2023-10-27,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,Just Energy Income Fund,Retail Program Requirements,TP Project Specific OY2021,2023,,,,
CAR1019,2017,CAR-1-MX-1019-43-811-MR-2017-5895-1 to 4271,4271,2023-10-27,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,Just Energy Income Fund,Retail Program Requirements,TP Project Specific OY2021,2023,,,,
CAR1019,2017,CAR-1-MX-1019-43-811-MR-2017-5895-4272 to 5105,834,2023-10-27,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,Just Energy Income Fund,Retail Program Requirements,TP Project Specific OY2021,2023,,,,
CAR1019,2016,CAR-1-MX-1019-43-811-MR-2016-5505-101 to 1900,1800,2023-01-04,LA PERSEVERANCIA BIOGAS PLANT,Landfill - MX,Version 1.1,CUAUTLA,MORELOS,MX,,No,Washington Gas Energy Services,On Behalf of Third Party,Retired for Ulster County,2023,,,,
